,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.1141 ± 0.0329,-0.0743 ± 0.0794,-8.6224,1.0000,
CVaR,-0.0605 ± 0.0143,-0.0820 ± 0.0203,17.4049,0.0000,***
MDD,-0.4535 ± 0.1036,-0.4939 ± 0.0991,6.1850,0.0000,***
Omega,0.8369 ± 0.0463,0.8860 ± 0.1352,-6.3034,1.0000,
