,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,11.8771 ± 3.3127,0.7093 ± 3.6705,42.5627,0.0000,***
CVaR,-0.0295 ± 0.0053,-0.0905 ± 0.0256,39.8882,0.0000,***
MDD,-0.7816 ± 0.3906,-0.9031 ± 0.2018,5.7499,0.0000,***
Omega,30.5627 ± 49.8346,6.3010 ± 24.1415,9.1781,0.0000,***
