,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.1418 ± 0.0209,-0.0419 ± 0.0726,-12.4874,1.0000,
CVaR,-0.1454 ± 0.0088,-0.1014 ± 0.0290,-13.7613,1.0000,
MDD,-0.7502 ± 0.0477,-0.4996 ± 0.1717,-13.2631,1.0000,
Omega,0.7875 ± 0.0317,0.9387 ± 0.1123,-12.2225,1.0000,
