,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,4.7570 ± 4.8044,1.0613 ± 2.6619,21.2776,0.0000,***
CVaR,-0.0649 ± 0.0230,-0.0846 ± 0.0302,16.4032,0.0000,***
MDD,-0.2695 ± 0.1111,-0.3626 ± 0.1554,15.4122,0.0000,***
Omega,149.0419 ± 153.0394,23.5979 ± 77.0122,23.1543,0.0000,***
