,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,3.6165 ± 1.9436,0.8376 ± 1.8005,24.4380,0.0000,***
CVaR,-0.0546 ± 0.0236,-0.1155 ± 0.0518,21.4299,0.0000,***
MDD,-0.2608 ± 0.1721,-0.6149 ± 0.3255,19.5999,0.0000,***
Omega,17.5601 ± 12.4273,5.4085 ± 8.9729,19.6275,0.0000,***
