,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.0622 ± 0.1160,-0.0326 ± 0.1327,-5.3169,1.0000,
CVaR,-0.1198 ± 0.0419,-0.0998 ± 0.0324,-11.9784,1.0000,
MDD,-0.5686 ± 0.2684,-0.4856 ± 0.2135,-7.6456,1.0000,
Omega,0.9176 ± 0.1903,0.9691 ± 0.2157,-5.6512,1.0000,
