,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,6.8146 ± 1.1396,0.7455 ± 1.9641,47.9307,0.0000,***
CVaR,-0.0252 ± 0.0023,-0.0504 ± 0.0103,40.9173,0.0000,***
MDD,-0.0536 ± 0.0100,-0.3164 ± 0.1295,34.3109,0.0000,***
Omega,90.3526 ± 13.1642,10.3749 ± 26.0211,48.6267,0.0000,***
