,Inter Mean±Std,Random Mean±Std,t-stat,p-value,Significance
Sortino,-0.0971 ± 0.0264,-0.0910 ± 0.0632,-2.8296,0.9976,
CVaR,-0.0653 ± 0.0091,-0.0766 ± 0.0177,17.9180,0.0000,***
MDD,-0.5227 ± 0.0786,-0.4798 ± 0.1347,-8.7092,1.0000,
Omega,0.8521 ± 0.0386,0.8655 ± 0.0947,-4.1387,1.0000,
